age,sex,mort,ylds (years lived with disability)_rate_lvrc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
76,male,4.0613141429832677e-4,1.2355857794025635e-4,4.3027730786947873e-4,4.91887117527323e-4,3332,lvrc,0,50,75,0,1,5,male_lvrc,bristol
77,male,4.0613141429832677e-4,1.2355857794025635e-4,4.3027730786947873e-4,4.91887117527323e-4,3332,lvrc,0,50,75,0,1,5,male_lvrc,bristol
78,male,4.0613141429832677e-4,1.2355857794025635e-4,4.3027730786947873e-4,4.91887117527323e-4,3332,lvrc,0,50,75,0,1,5,male_lvrc,bristol
79,male,4.0613141429832677e-4,1.2355857794025635e-4,4.3027730786947873e-4,4.91887117527323e-4,3332,lvrc,0,50,75,0,1,5,male_lvrc,bristol
80,male,5.376403652409985e-4,1.6773878008296335e-4,6.212819487902809e-4,6.542954221231851e-4,2291,lvrc,0,20,80,0,1,5,male_lvrc,bristol
81,male,5.376403652409985e-4,1.6773878008296335e-4,6.212819487902809e-4,6.542954221231851e-4,2291,lvrc,0,20,80,0,1,5,male_lvrc,bristol
82,male,5.376403652409985e-4,1.6773878008296335e-4,6.212819487902809e-4,6.542954221231851e-4,2291,lvrc,0,20,80,0,1,5,male_lvrc,bristol
83,male,5.376403652409985e-4,1.6773878008296335e-4,6.212819487902809e-4,6.542954221231851e-4,2291,lvrc,0,20,80,0,1,5,male_lvrc,bristol
84,male,5.376403652409985e-4,1.6773878008296335e-4,6.212819487902809e-4,6.542954221231851e-4,2291,lvrc,0,20,80,0,1,5,male_lvrc,bristol
85,male,7.493776132534293e-4,2.2776417372679538e-4,7.493693221779362e-4,9.136147988823648e-4,1276,lvrc,0,20,85,0,1,5,male_lvrc,bristol
86,male,7.493776132534293e-4,2.2776417372679538e-4,7.493693221779362e-4,9.136147988823648e-4,1276,lvrc,0,20,85,0,1,5,male_lvrc,bristol
87,male,7.493776132534293e-4,2.2776417372679538e-4,7.493693221779362e-4,9.136147988823648e-4,1276,lvrc,0,20,85,0,1,5,male_lvrc,bristol
88,male,7.493776132534293e-4,2.2776417372679538e-4,7.493693221779362e-4,9.136147988823648e-4,1276,lvrc,0,20,85,0,1,5,male_lvrc,bristol
89,male,7.493776132534293e-4,2.2776417372679538e-4,7.493693221779362e-4,9.136147988823648e-4,1276,lvrc,0,20,85,0,1,5,male_lvrc,bristol
90,male,7.324024878519261e-4,2.1495603528728303e-4,5.498855955785177e-4,8.932484722833021e-4,506,lvrc,0,10,90,0,0,5,male_lvrc,bristol
91,male,7.324024878519261e-4,2.1495603528728303e-4,5.498855955785177e-4,8.932484722833021e-4,506,lvrc,0,10,90,0,0,5,male_lvrc,bristol
92,male,7.324024878519261e-4,2.1495603528728303e-4,5.498855955785177e-4,8.932484722833021e-4,506,lvrc,0,10,90,0,0,5,male_lvrc,bristol
93,male,7.324024878519261e-4,2.1495603528728303e-4,5.498855955785177e-4,8.932484722833021e-4,506,lvrc,0,10,90,0,0,5,male_lvrc,bristol
94,male,7.324024878519261e-4,2.1495603528728303e-4,5.498855955785177e-4,8.932484722833021e-4,506,lvrc,0,10,90,0,0,5,male_lvrc,bristol
95,male,7.592346253521319e-4,1.862207534109769e-4,5.139990655321804e-5,9.258230806950193e-4,91,lvrc,0,10,95,0,0,6,male_lvrc,bristol
96,male,7.592346253521319e-4,1.862207534109769e-4,5.139990655321804e-5,9.258230806950193e-4,91,lvrc,0,10,95,0,0,6,male_lvrc,bristol
97,male,7.592346253521319e-4,1.862207534109769e-4,5.139990655321804e-5,9.258230806950193e-4,91,lvrc,0,10,95,0,0,6,male_lvrc,bristol
98,male,7.592346253521319e-4,1.862207534109769e-4,5.139990655321804e-5,9.258230806950193e-4,91,lvrc,0,10,95,0,0,6,male_lvrc,bristol
99,male,7.592346253521319e-4,1.862207534109769e-4,5.139990655321804e-5,9.258230806950193e-4,91,lvrc,0,10,95,0,0,6,male_lvrc,bristol
100,male,7.592346253521319e-4,1.862207534109769e-4,5.139990655321804e-5,9.258230806950193e-4,91,lvrc,0,10,95,0,0,6,male_lvrc,bristol
