age,sex,inc,mort,ylds (years lived with disability)_rate_strk,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,male,6.044165583267249e-5,1.0718876195145017e-6,2.0989033072897772e-5,0,6980,strk,0,10,0,0,0,5,male_strk
1,male,6.044165583267249e-5,1.0718876195145017e-6,2.0989033072897772e-5,0,6980,strk,0,10,0,0,0,5,male_strk
2,male,6.044165583267249e-5,1.0718876195145017e-6,2.0989033072897772e-5,0,6980,strk,0,10,0,0,0,5,male_strk
3,male,6.044165583267249e-5,1.0718876195145017e-6,2.0989033072897772e-5,0,6980,strk,0,10,0,0,0,5,male_strk
4,male,6.044165583267249e-5,1.0718876195145017e-6,2.0989033072897772e-5,0,6980,strk,0,10,0,0,0,5,male_strk
5,male,5.2091974649614806e-5,3.638394469312442e-7,5.790995423959591e-5,1.5072028882670463e-4,6917,strk,0,10,5,0,0,5,male_strk
6,male,5.2091974649614806e-5,3.638394469312442e-7,5.790995423959591e-5,1.5072028882670463e-4,6917,strk,0,10,5,0,0,5,male_strk
7,male,5.2091974649614806e-5,3.638394469312442e-7,5.790995423959591e-5,1.5072028882670463e-4,6917,strk,0,10,5,0,0,5,male_strk
8,male,5.2091974649614806e-5,3.638394469312442e-7,5.790995423959591e-5,1.5072028882670463e-4,6917,strk,0,10,5,0,0,5,male_strk
9,male,5.2091974649614806e-5,3.638394469312442e-7,5.790995423959591e-5,1.5072028882670463e-4,6917,strk,0,10,5,0,0,5,male_strk
10,male,4.849746565256527e-5,7.792540227614918e-7,9.365600152779987e-5,3.5252535705530445e-4,6234,strk,0,50,10,0,0,5,male_strk
11,male,4.849746565256527e-5,7.792540227614918e-7,9.365600152779987e-5,3.5252535705530445e-4,6234,strk,0,50,10,0,0,5,male_strk
12,male,4.849746565256527e-5,7.792540227614918e-7,9.365600152779987e-5,3.5252535705530445e-4,6234,strk,0,50,10,0,0,5,male_strk
13,male,4.849746565256527e-5,7.792540227614918e-7,9.365600152779987e-5,3.5252535705530445e-4,6234,strk,0,50,10,0,0,5,male_strk
14,male,4.849746565256527e-5,7.792540227614918e-7,9.365600152779987e-5,3.5252535705530445e-4,6234,strk,0,50,10,0,0,5,male_strk
15,male,4.620042497389901e-5,1.683043309000301e-6,1.273853079401781e-4,4.7107128420681037e-4,6436,strk,0,50,15,0,0,5,male_strk
16,male,4.620042497389901e-5,1.683043309000301e-6,1.273853079401781e-4,4.7107128420681037e-4,6436,strk,0,50,15,0,0,5,male_strk
17,male,4.620042497389901e-5,1.683043309000301e-6,1.273853079401781e-4,4.7107128420681037e-4,6436,strk,0,50,15,0,0,5,male_strk
